N,Time(ms),FLOPS
267,58.096,655265870.284
268,58.693,655915765.083
269,59.492,654377361.662
270,59.671,659717450.688
271,60.368,659372879.671
272,61.443,655034682.551
273,61.988,656463089.630
274,62.614,657067876.194
275,63.667,653301553.395
276,63.804,659036298.665
277,64.601,658006315.692
278,65.473,656299604.417
279,66.063,657482675.628
280,66.485,660359479.582
281,69.489,638605851.286
282,68.332,656376748.815
283,68.836,658527136.963
284,69.932,655102213.579
285,71.226,650018953.753
286,71.393,655348731.668
287,71.869,657860913.607
288,72.865,655674795.855
289,74.077,651688621.299
290,74.508,654667955.119
291,75.741,650695686.616
292,75.548,659106475.353
293,76.510,657528610.639
294,77.370,656900193.874
295,79.493,645902783.893
296,79.325,653875474.315
297,80.108,654068832.077
298,81.223,651628036.394
299,84.822,630282214.520
300,85.881,628777028.679
301,83.628,652195460.850
302,84.404,652661200.891
303,85.334,651982257.951
304,85.762,655172780.486
305,86.618,655120760.119
306,92.642,618566438.548
307,88.714,652308384.246
308,88.863,657599045.722
309,91.975,641557575.428
310,93.447,637602063.202
311,91.912,654544150.927
312,99.971,607602764.802
313,98.557,622265227.229
314,94.519,655088267.967
315,95.188,656718809.094
316,96.223,655861820.978
317,97.169,655662052.712
318,97.871,657139132.123
319,101.247,641238930.536
320,100.516,651995702.177
321,105.837,625039655.319
322,102.128,653811843.961
323,101.930,661204100.854
324,103.352,658182212.246
325,104.384,657727716.891
326,104.999,659929637.425
327,106.191,658545130.943
328,106.983,659685221.016
329,111.546,638504096.964
330,109.400,656983546.618
331,110.802,654585494.847
332,111.390,657049429.931
333,120.654,612098015.814
334,115.235,646673389.161
335,121.102,620887764.034
336,119.808,633230769.231
337,120.755,633890985.881
338,118.056,654172121.705
339,120.475,646743623.158
340,122.479,641807983.409
341,120.665,657221580.409
342,121.856,656540309.874
343,129.819,621690307.274
344,129.330,629514946.262
345,135.882,604401245.198
346,128.060,646911385.288
347,128.807,648752365.943
348,128.573,655568307.498
349,130.115,653399669.523
350,132.191,648682588.073
351,132.762,651444705.563
352,134.288,649562254.260
353,137.220,641116120.099
354,135.393,655305133.943
355,136.748,654325840.232
356,142.369,633817980.038
357,140.941,645650208.243
358,148.141,619446500.294
359,143.676,644064130.405
360,149.612,623693286.635
361,144.256,652255448.647
362,149.488,634672053.944
363,145.838,655962739.478
364,147.502,653937492.373
365,147.978,657221005.825
366,148.710,659375912.851
367,149.550,661061357.406
368,151.219,659123946.065
369,153.071,656471950.925
370,153.726,659003681.876
371,156.342,653244950.173
372,156.576,657557326.793
373,157.424,659303752.922
374,160.462,652037541.599
375,159.856,659773483.635
376,161.838,656920822.057
377,163.778,654332486.659
378,164.967,654799468.985
379,167.020,651897245.839
380,166.421,659436008.677
381,171.644,644430810.282
382,175.395,635627788.705
383,171.013,657048142.539
384,179.793,629869950.443
385,176.444,646852542.450
386,175.439,655640490.427
387,177.091,654585529.474
388,177.348,658717008.368
389,179.699,655138526.091
390,188.275,630131456.646
391,184.585,647685033.995
392,187.717,641777654.661
393,184.412,658291835.672
394,187.201,653447193.124
395,189.081,651888608.586
396,192.769,644285502.337
397,193.512,646686231.345
398,196.904,640360703.693
399,196.785,645589846.787
400,210.302,608648514.993
401,200.482,643261749.184
402,199.754,650448131.201
403,199.118,657407436.796
404,200.906,656419061.651
405,202.729,655358878.108
406,203.144,658876619.541
407,209.464,643730120.689
408,206.757,656977147.086
409,207.748,658662697.114
410,210.123,656006243.962
411,213.467,650466170.415
412,219.437,637399599.885
413,235.410,598487719.298
414,223.717,634354510.386
415,221.853,644330930.842
416,219.112,657118697.287
417,222.691,651231643.847
418,222.321,657019642.769
419,223.728,657584736.823
420,224.522,659962052.716
