N,Time(ms),FLOPS
267,62.914,605085132.085
268,64.204,599614728.054
269,63.975,608522360.297
270,65.538,600659159.572
271,67.153,592751209.924
272,68.616,586558470.328
273,69.342,586842519.685
274,68.430,601222387.842
275,68.742,605070408.193
276,69.553,604562736.331
277,70.215,605395798.619
278,72.362,593818634.090
279,71.563,606951609.072
280,72.383,606551262.037
281,73.584,603066998.260
282,75.293,595693304.822
283,76.318,593967006.473
284,79.729,574604071.291
285,78.432,590297965.116
286,80.707,579718140.930
287,78.670,600989017.415
288,80.525,593303247.439
289,80.574,599140392.683
290,81.695,597074484.363
291,83.607,589476263.949
292,84.635,588340237.490
293,83.763,600593507.873
294,86.656,586507200.886
295,86.276,595122050.165
296,88.350,587081743.067
297,88.038,595153751.789
298,89.498,591378399.517
299,91.054,587143870.670
300,90.700,595369349.504
301,91.832,593930242.181
302,91.887,599510442.174
303,94.434,589154901.836
304,94.571,594145435.704
305,98.253,577542161.562
306,100.861,568160458.453
307,99.823,579714955.471
308,98.068,595874536.036
309,99.550,592739909.593
310,101.905,584681811.491
311,106.378,565534809.829
312,104.197,582959739.724
313,103.365,593320698.496
314,109.480,565567117.282
315,108.129,578121965.430
316,110.898,569072408.880
317,110.459,576775328.402
318,109.804,585724235.911
319,110.199,589147977.749
320,111.120,589776817.855
321,112.416,588460023.484
322,117.520,568179850.238
323,116.006,580974553.040
324,117.733,577785735.520
325,117.488,584368190.794
326,117.109,591687675.584
327,119.883,583331798.504
328,122.258,577263688.266
329,121.621,585610856.678
330,122.823,585183556.826
331,123.072,589324801.742
332,125.290,584154649.214
333,130.765,564769426.070
334,126.260,590205987.645
335,134.340,559704853.357
336,135.824,558561903.640
337,135.226,566056128.259
338,136.620,565282857.561
339,135.172,576424392.626
340,142.263,552554072.387
341,139.116,570054069.985
342,138.836,576243740.817
343,138.708,581849741.904
344,141.785,574215664.563
345,152.242,539451990.909
346,143.496,577322517.701
347,144.025,580203756.292
348,145.405,579680093.532
349,144.793,587163039.650
350,147.681,580643413.845
351,149.825,577254143.167
352,151.438,576000845.230
353,153.969,571374458.495
354,152.900,580272910.399
355,153.639,582389562.546
356,154.365,584562770.058
357,155.606,584801267.303
358,158.083,580488882.423
359,166.588,555481535.285
360,163.931,569215096.596
361,162.913,577558340.955
362,162.953,582228348.051
363,165.892,576666108.070
364,164.034,588031066.730
365,166.450,584285070.592
366,168.173,583065010.436
367,172.173,574199938.434
368,175.404,568242822.285
369,176.711,568650610.319
370,176.627,573558968.901
371,176.914,577284002.397
372,176.754,582491462.711
373,178.403,581774039.674
374,179.572,582647896.109
375,184.583,571389293.705
376,185.245,573914286.485
377,187.084,572818979.710
378,188.696,572456777.038
379,198.765,547781943.501
380,201.694,544111376.640
381,200.724,551068541.878
382,209.569,531977229.457
383,195.041,576103352.628
384,200.783,564022890.384
