N,Time(ms),FLOPS
267,59.362,641291162.697
268,60.372,637674153.581
269,60.655,641830319.017
270,60.960,645767716.535
271,61.826,643823342.930
272,62.170,647374875.342
273,63.194,643935088.774
274,63.474,648165359.045
275,64.961,640288018.965
276,65.487,642099225.801
277,66.230,641821923.600
278,66.349,647634538.576
279,68.894,630465323.541
280,68.019,645466707.832
281,69.576,637807318.616
282,69.641,644039229.764
283,70.132,646357925.056
284,70.891,646240115.106
285,71.746,645307752.349
286,72.475,645564843.049
287,73.038,647331608.204
288,73.826,647139815.241
289,74.790,645475839.016
290,75.331,647515631.015
291,76.967,640330817.103
292,77.433,643061433.756
293,79.200,635195883.838
294,78.545,647073244.637
295,79.222,648112266.795
296,80.560,643851439.921
297,80.811,648378884.063
298,86.396,612611509.792
299,83.688,638822746.391
300,84.149,641718855.839
301,85.348,639051905.141
302,85.222,646396658.140
303,85.736,648925235.607
304,86.869,646823700.054
305,90.146,629481618.707
306,88.325,648799682.989
307,89.359,647599973.142
308,90.650,644635675.676
309,90.959,648723688.695
310,92.237,645966369.244
311,92.736,648728239.303
312,96.455,629751241.512
313,98.909,620050693.061
314,95.896,645681655.126
315,98.505,634604842.394
316,104.424,604353328.737
317,102.476,621706799.641
318,101.633,632814774.729
319,101.124,642018887.702
320,109.446,598797580.542
321,102.203,647263994.208
322,104.123,641284788.183
323,114.466,588790854.926
324,113.474,599471667.519
325,107.593,638110750.699
326,110.399,627650177.991
327,107.930,647934457.519
328,109.215,646203396.969
329,109.738,649023838.597
330,111.132,646744412.051
331,112.250,646141487.751
332,112.919,648152534.117
333,113.950,648109469.065
334,115.032,647814590.723
335,116.985,642738385.263
336,118.359,640983043.115
337,118.497,645969990.801
338,120.193,642541113.043
339,123.073,633091238.533
340,126.072,623516720.604
341,122.876,645395699.730
342,124.235,643968092.727
343,124.395,648797893.806
344,125.639,648008723.406
345,126.773,647829190.758
346,127.919,647624449.847
347,131.841,633822907.897
348,132.282,637187100.286
349,133.144,638534954.636
350,134.514,637480113.594
351,133.487,647906552.698
352,134.616,647979556.665
353,136.175,646036012.484
354,136.584,649590933.052
355,138.433,646361416.714
356,141.565,637417666.796
357,140.735,646595274.807
358,141.166,650053298.953
359,142.795,648037802.444
360,143.915,648382725.915
361,151.675,620351158.728
362,147.233,644392602.202
363,148.507,644173634.913
364,149.367,645772412.916
365,150.519,646126070.463
366,150.847,650034750.443
367,159.744,618875989.083
368,164.160,607164132.554
369,155.541,646047138.697
370,157.025,645158414.265
371,159.382,640785170.220
372,158.853,648131895.526
373,159.817,649431750.064
374,161.611,647401773.394
375,163.989,643145271.939
376,167.559,634491444.805
377,165.980,645651680.925
378,168.210,642175280.899
379,174.520,623881950.493
380,173.300,633260242.354
381,174.151,635153872.214
382,175.834,634040833.968
383,173.332,648257528.904
384,174.981,647191455.072
385,175.792,649251672.431
386,177.129,649384979.309
387,181.089,640133889.966
388,180.444,647414954.224
389,181.570,648387608.085
390,188.792,628405864.655
391,184.021,649670102.869
392,191.451,629260625.434
393,188.408,644329932.912
394,189.147,646724336.098
395,190.837,645890209.970
396,191.902,647196339.798
397,192.311,650724846.733
398,194.606,647922386.771
399,196.836,645422575.139
400,196.769,650508972.450
401,199.262,647200178.659
402,199.592,650976071.185
403,201.380,650023110.537
404,203.025,649567925.132
405,203.981,651336398.978
406,210.345,636320483.016
407,206.915,651660275.959
408,209.764,647559276.139
409,212.461,644051651.833
410,213.238,646423245.388
411,218.329,635980845.421
412,233.839,598142551.071
413,220.923,637733481.801
414,225.626,628987297.563
415,221.743,644650563.941
416,221.890,648891757.177
417,226.581,640051134.032
418,225.267,648427261.871
419,226.458,649657411.087
420,228.028,649814935.008
421,230.422,647667852.896
422,235.262,638874514.371
423,232.940,649840877.479
424,236.204,645416876.937
425,239.502,641043707.359
426,239.141,646553924.254
427,246.197,632456796.793
428,244.439,641491349.580
429,245.619,642894800.484
430,244.720,649779339.653
431,246.760,648913851.516
432,259.824,620585996.675
433,250.212,648911618.947
434,258.382,632756956.754
435,253.220,650129334.176
436,260.088,637337024.392
437,259.276,643742212.931
438,258.751,649486742.080
439,262.820,643821010.578
440,266.254,639870199.133
441,265.412,646286686.359
442,270.688,638010462.230
443,281.034,618703124.889
444,276.182,633845681.471
445,281.307,626512137.984
446,279.984,633725755.757
447,278.243,641990080.613
448,278.706,645234706.106
449,278.212,650718509.626
450,280.737,649184111.820
451,283.707,646680208.807
452,286.959,643613951.819
453,288.180,645150093.691
454,288.098,649616894.251
455,290.060,649495793.974
456,294.553,643814973.876
457,293.148,651165916.193
458,297.025,646894449.962
459,300.404,643816853.304
460,300.563,647691166.245
461,302.392,647981302.415
462,305.761,645020967.357
463,305.530,649709337.872
464,307.828,649046506.491
465,311.238,646094789.197
466,316.347,639770226.998
467,316.026,644551796.371
468,316.487,647756350.182
469,323.630,637528714.890
470,319.744,649413280.624
471,321.110,650787026.253
472,324.323,648452610.515
473,331.005,639409175.088
474,328.684,648017086.320
475,341.586,627495711.183
476,338.431,637354001.259
477,345.715,627865918.459
478,344.356,634316532.890
479,342.402,641948580.908
480,344.968,641172514.552
481,348.182,639232591.001
482,351.586,637000153.590
483,349.981,643912595.255
484,357.530,634239946.298
485,369.622,617301594.602
486,355.185,646374458.381
487,362.808,636707586.382
488,365.987,635073223.912
489,361.780,646415882.581
490,365.525,643726147.322
491,369.796,640194977.772
492,371.871,640520438.539
493,376.209,637003139.213
494,381.314,632307148.439
495,373.831,648888802.694
496,377.739,646075390.680
497,379.234,647428621.906
498,390.536,632494786.652
499,386.061,643688427.476
500,386.546,646753555.851
501,390.270,644433346.145
502,392.904,643953780.058
503,393.517,646800656.643
504,395.949,646669465.007
505,399.055,645463031.412
506,401.980,644580406.985
507,450.183,578981627.471
508,453.173,578571591.864
509,451.444,584224085.379
510,453.877,584524000.996
511,421.998,632386082.398
512,414.950,646910365.104
513,419.437,643747199.222
514,419.553,647340116.743
515,423.607,644894324.220
516,436.068,630122347.891
517,428.278,645321090.507
518,431.073,644864475.390
519,433.351,645196891.204
520,437.624,642597298.137
521,439.154,644059992.622
522,442.266,643217647.298
523,443.805,644678032.019
524,447.758,642658864.833
525,449.087,644432481.902
526,453.327,642060040.545
527,464.026,630840439.975
528,455.050,646952871.113
529,474.103,624488303.175
530,469.923,633622955.250
531,466.346,642103892.818
532,471.008,639346966.506
533,470.741,643323768.272
534,474.642,641634343.358
535,478.602,639906958.182
536,476.718,646045066.475
537,483.183,640975170.898
538,482.656,645266492.077
539,490.595,638371035.172
540,493.093,638678707.668
541,497.361,636722304.322
542,502.289,633978000.713
543,501.034,639090389.075
544,500.435,643396980.627
545,505.388,640611272.923
546,505.852,643553197.378
547,511.783,639596559.479
548,509.752,645673158.712
549,514.260,643523311.166
550,527.261,631091622.555
551,521.941,641007895.528
552,522.857,643375179.064
553,528.181,640357669.057
554,528.018,644036619.964
555,533.478,640903186.261
556,534.512,643127248.780
557,543.121,636354304.105
558,540.990,642308035.269
559,547.671,637889824.365
560,546.423,642784070.217
561,546.835,645746819.425
562,550.792,644542142.951
563,554.055,644172679.608
564,556.416,644863354.037
565,559.811,644367920.602
566,567.489,639030874.607
567,568.257,641555715.108
568,578.009,634074666.657
569,574.350,641490411.770
570,575.290,643824853.552
571,588.436,632760099.654
572,583.603,641358073.896
573,590.349,637360330.923
574,599.486,630937916.815
575,592.860,641329740.580
576,593.041,644484870.355
577,601.013,639254169.211
578,603.076,640385463.855
579,604.769,641912991.572
580,613.454,636109634.952
581,613.098,639776808.928
582,622.769,633099489.538
583,622.763,636374630.477
584,620.067,642436072.231
585,622.927,642777163.295
586,625.966,642942447.353
587,641.726,630368733.696
588,633.988,641329085.093
589,635.110,643467963.030
590,645.869,635977264.739
591,648.217,636901133.417
592,646.501,641838722.601
593,651.456,640190149.450
594,651.133,643753531.153
595,656.825,641403341.834
596,658.952,642561934.708
597,666.739,638259267.869
598,680.793,628229702.714
599,671.581,640047288.413
600,672.281,642588441.440
601,680.321,638174629.329
602,683.314,638556236.225
603,687.548,637791767.266
604,690.822,637932387.793
605,694.192,637993883.537
606,698.291,637399067.151
607,697.998,640828606.959
608,700.940,641298005.535
609,711.464,634934526.554
610,708.786,640478226.150
611,713.493,639387158.669
612,714.159,641932477.221
613,719.303,640471114.398
614,725.698,637939043.514
615,731.658,635839080.554
616,727.654,642461653.478
617,729.083,644330242.236
618,736.381,641051390.517
619,741.635,639604816.385
620,742.571,641899562.466
621,753.151,635949659.497
622,755.674,636893284.670
623,755.819,639847283.543
624,755.239,643427111.153
625,757.726,644403451.907
626,767.755,639043382.329
627,768.281,641671167.190
628,773.399,640479628.238
629,778.477,639346285.118
630,792.102,631350507.889
631,791.613,634753575.295
632,790.029,639054941.021
633,790.545,641674128.607
634,793.724,642137831.286
635,825.117,620634104.012
636,811.179,634285295.847
637,814.812,634440467.249
638,833.386,623226384.892
639,820.746,635804789.789
640,819.695,639613514.783
641,820.465,642013299.775
642,836.008,633030516.454
643,829.905,640670214.061
644,842.691,633897796.464
645,839.395,639356024.279
646,847.704,636038371.885
647,842.950,642600446.053
648,846.844,642616094.582
649,857.581,637512839.020
650,858.094,640081389.685
651,860.247,641430777.440
652,866.703,639591204.830
653,868.969,640863084.874
654,877.279,637713347.749
655,882.569,636803184.793
656,886.187,637112519.141
657,883.898,641688052.241
658,887.004,642365337.699
659,892.754,641142305.719
660,906.085,634589470.083
661,905.725,637731719.893
662,908.230,638863565.396
663,911.579,639405354.884
664,912.646,641552023.457
665,916.339,641857707.682
666,920.801,641633308.391
667,934.835,634852060.524
668,938.593,635158438.215
669,938.541,638050567.849
670,948.777,634001456.612
671,949.546,636328752.899
672,944.565,642548576.329
673,951.712,640574495.225
674,961.841,636658291.755
675,963.200,638594009.551
676,963.375,641319893.084
677,966.288,642228265.279
678,977.936,637394986.993
679,981.257,638052699.751
680,976.852,643765892.889
681,984.604,641519313.348
682,997.277,636161403.502
683,1007.050,632762994.886
684,1003.332,637901520.135
685,1007.303,638177638.705
686,1014.762,636265165.625
687,1024.473,632994140.402
688,1015.121,641619416.799
689,1029.621,635345955.454
690,1026.255,640209304.705
691,1040.504,634191451.450
692,1036.067,639676561.458
693,1036.670,642080038.971
694,1056.359,632844296.305
695,1053.617,637237962.182
696,1062.846,634435348.113
697,1052.037,643720464.204
698,1061.832,640531443.769
699,1064.581,641627267.441
700,1080.608,634827800.646
701,1071.773,642807947.205
702,1088.833,635448058.610
703,1100.131,631613738.727
704,1091.218,639493967.292
705,1095.137,639924730.878
706,1107.869,635266111.788
707,1105.070,639585262.472
708,1102.552,643769930.126
709,1107.199,643788206.095
710,1135.729,630275356.181
711,1136.210,632674296.125
