N,Time(ms),FLOPS
266,59.405,633653598.182
267,59.532,639459887.120
268,60.402,637357438.495
269,64.170,606673180.614
270,62.017,634761436.380
271,62.912,632709530.773
272,62.955,639302612.978
273,63.516,640670602.683
274,64.705,635834139.556
275,67.047,620367055.946
276,69.254,607172899.760
277,66.110,642986930.873
278,67.597,635677678.003
279,67.899,639704237.176
280,68.750,638603636.364
281,69.325,640116581.320
282,70.752,633926051.560
283,71.508,633920316.608
284,71.373,641875891.444
285,73.334,631334033.327
286,74.573,627402840.170
287,73.613,642275223.126
288,74.433,641862399.742
289,75.125,642597510.815
290,76.010,641731351.138
291,77.848,633084241.085
292,77.946,638829138.121
293,78.497,640884543.358
294,79.802,636880880.178
295,80.412,638520991.892
296,81.525,636230260.656
297,81.912,639663858.775
298,82.853,638808299.036
299,83.967,636700108.376
300,84.857,636364707.685
301,85.536,637647329.779
302,86.118,639671334.680
303,86.652,642065434.150
304,87.770,640183752.991
305,88.315,642532412.387
306,89.428,640797423.626
307,90.531,639216246.369
308,91.479,638793865.259
309,91.740,643200981.033
310,97.305,612322080.058
311,93.365,644357757.190
312,94.505,642745420.877
313,95.697,640862242.286
314,96.711,640240386.306
315,102.011,612794208.468
316,99.366,635116558.984
317,100.708,632621301.188
318,101.731,632205168.533
319,106.066,612104896.951
320,102.418,639887519.772
321,102.940,642629900.913
322,104.610,638299359.526
323,105.091,641315945.228
324,106.165,640742692.978
325,106.474,644817044.537
326,107.941,641942839.144
327,108.726,643190828.321
328,109.797,642778072.261
329,110.541,644309152.260
330,111.452,644887485.195
331,112.915,642336111.234
332,113.953,642271252.183
333,120.648,612128456.336
334,115.933,642779950.489
335,117.504,639899492.783
336,118.023,642807859.485
337,120.563,634900475.270
338,120.351,641697567.947
339,121.891,639230443.593
340,122.523,641577499.735
341,123.227,643557353.502
342,124.735,641386747.906
343,125.267,644281526.659
344,126.399,644112437.598
345,127.383,644726925.885
346,128.725,643569407.652
347,130.091,642349170.965
348,131.979,638649967.040
349,134.751,630919978.330
350,133.857,640609008.121
351,134.380,643600997.172
352,135.695,642827045.949
353,136.039,646681863.289
354,137.343,646001092.156
355,138.975,643840618.816
356,139.704,645908721.296
357,142.565,638295416.126
358,141.460,648702276.262
359,144.299,641283432.318
360,144.358,646392995.193
361,145.585,646301212.350
362,146.896,645870929.093
363,147.761,647425870.155
364,150.551,640693771.546
365,150.671,645474245.210
366,151.265,648238468.912
367,151.924,650731457.834
368,153.757,648244073.441
369,155.214,647408210.600
370,156.331,648022465.154
371,158.173,645683030.606
372,158.973,647642656.300
373,160.367,647204437.322
374,161.868,646373884.894
375,163.158,646420953.922
376,164.171,647585456.628
377,165.199,648704084.165
378,167.150,646247705.654
379,172.723,630372781.853
380,176.030,623439186.502
381,175.061,631852222.939
382,176.373,632103190.398
383,173.159,648905191.183
384,175.920,643736971.351
385,175.742,649436389.708
386,177.407,648367381.219
387,179.201,646878120.100
388,180.344,647773943.131
389,181.649,648105621.281
390,182.726,649267208.826
391,192.044,622528910.041
392,187.663,641962326.085
393,191.213,634877931.940
394,189.638,645049873.970
395,197.901,622835407.603
396,193.178,642921409.270
397,193.428,646967067.850
398,194.923,646868681.479
399,195.374,650252326.307
400,200.692,637793235.405
401,198.744,648887020.489
402,200.607,647682364.025
403,207.173,631847074.667
404,203.191,649037250.666
405,204.114,650911990.358
406,205.168,652376744.911
407,207.331,650352749.951
408,209.668,647855771.982
409,214.091,639148109.916
410,213.227,646456593.208
411,223.132,622291119.158
412,218.660,639664575.139
413,221.647,635650353.941
414,222.310,638369340.111
415,221.231,646142493.593
416,222.508,647089506.894
417,224.988,644582937.757
418,225.832,646804987.779
419,228.692,643311169.608
420,229.160,646604992.145
421,230.082,648624933.719
422,231.920,648080786.478
423,236.575,639856003.382
424,241.719,630691207.559
425,247.418,620533873.849
426,244.681,631914827.878
427,240.418,647659351.629
428,243.877,642969628.132
429,243.565,648316375.506
430,245.542,647604075.881
431,246.514,649561412.334
432,249.706,645731924.743
433,251.018,646828012.334
434,252.995,646230194.273
435,253.956,648245168.454
436,267.619,619401881.032
437,257.513,648149437.116
438,260.314,645587037.194
439,261.253,647682660.103
440,263.307,647031791.787
441,270.814,633395031.276
442,277.152,623130181.272
443,273.652,635393178.197
444,277.247,631410864.680
445,278.600,632599605.169
446,278.539,637013387.712
447,275.890,647465460.872
448,278.233,646331614.151
449,285.200,634774537.167
450,281.597,647201497.175
451,287.721,637658363.484
452,293.182,629952780.184
453,290.424,640165254.938
454,295.059,634291202.776
455,319.638,589394095.821
456,295.333,642114602.838
457,304.486,626918761.454
458,302.373,635452980.259
459,301.665,641125612.849
460,303.456,641516397.764
461,303.905,644755308.402
462,304.102,648539818.877
463,310.570,639165708.214
464,315.315,633635215.578
465,326.914,615113607.860
466,312.359,647938404.208
467,314.855,646948995.569
468,318.284,644099181.863
469,318.674,647443525.358
470,323.810,641258762.855
471,332.964,627618066.818
472,326.292,644539541.270
473,326.728,647779296.540
474,329.250,646903107.062
475,335.836,638239348.968
476,337.477,639155711.352
477,342.770,633260396.184
478,341.237,640114360.401
479,343.789,639358670.580
480,341.881,646961954.598
481,343.350,648228577.254
482,351.805,636603618.482
483,349.267,645228933.738
484,353.153,642100755.197
485,359.692,634343410.473
486,367.404,624877551.687
