N,Time(ms),FLOPS
267,61.728,616710828.149
268,62.321,617731807.898
269,64.314,605314830.364
270,65.384,602073901.872
271,67.127,592980797.593
272,67.429,596884070.652
273,66.819,609000942.846
274,67.506,609451722.810
275,67.976,611888754.855
276,68.819,611010796.437
277,69.912,608019596.064
278,70.586,608759584.053
279,71.669,606053914.524
280,72.794,603126631.316
281,73.374,604793005.697
282,74.102,605267550.134
283,76.337,593819170.258
284,80.097,571964093.537
285,79.866,579699121.028
286,80.706,579725324.016
287,78.296,603859788.495
288,79.220,603076798.788
289,80.370,600661167.102
290,81.589,597850200.395
291,81.900,601762417.582
292,85.190,584507289.588
293,83.789,600407141.749
294,84.301,602891638.296
295,85.921,597580917.354
296,89.597,578910811.746
297,87.814,596671897.420
298,88.025,601274456.120
299,89.182,599468480.187
300,90.185,598769196.651
301,91.233,597829754.584
302,92.169,597676181.796
303,93.420,595549710.983
304,95.806,586486524.852
305,95.821,592200561.464
306,96.714,592522613.065
307,98.787,585794547.866
308,97.974,596446240.839
309,99.266,594435738.319
310,101.782,585388379.085
311,103.188,583018005.970
312,102.287,593845317.587
313,104.126,588984441.926
314,104.990,589754148.014
315,105.909,590240206.215
316,109.186,577995274.119
317,113.342,562104303.789
318,109.345,588182943.893
319,110.487,587612280.178
320,110.638,592346210.163
321,111.762,591903527.138
322,114.833,581474802.539
323,114.279,589754320.566
324,117.392,579464086.139
325,116.486,589394862.902
326,117.367,590387008.273
327,121.844,573943452.283
328,120.036,587949481.822
329,121.176,587761421.404
330,122.231,588017769.633
331,122.138,593831420.197
332,124.971,585645757.816
333,127.906,577393351.367
334,126.346,589804251.816
335,131.073,573655520.206
336,132.749,571500440.681
337,133.365,573954980.692
338,135.280,570882199.882
339,138.810,561317181.759
340,136.084,577643220.364
341,140.629,563920969.359
342,137.477,581940077.249
343,141.339,571018713.872
344,139.167,585017770.017
345,140.656,583887285.292
346,143.955,575481726.929
347,142.884,584836972.649
348,145.740,578347632.771
349,144.282,589242580.502
350,145.617,588873551.852
351,148.757,581398535.867
352,152.583,571678470.079
353,151.120,582146334.039
354,153.349,578573893.537
355,154.125,580553122.466
356,153.994,585971089.783
357,156.043,583163525.439
358,157.618,582201423.695
359,159.688,579483480.287
360,190.923,488741534.545
361,166.348,565632060.500
362,165.301,573958149.074
363,163.047,586728329.868
364,168.356,572935256.243
365,173.895,559269961.759
366,166.707,588192409.437
367,177.190,557941904.171
368,172.247,578657764.722
369,172.846,581366175.671
370,176.448,574140823.359
371,182.776,558769324.200
372,179.314,574175446.424
373,177.879,583487842.859
374,180.859,578501749.982
375,183.122,575948001.879
376,185.119,574304917.377
377,197.689,542090182.054
378,192.938,559870549.088
379,196.754,553380759.730
380,205.059,535182557.215
381,198.824,556334657.788
382,230.688,483275835.761
383,198.268,566726723.425
384,203.694,555962414.210
385,201.381,566752821.766
386,208.890,550648245.488
387,205.642,563703941.802
388,200.963,581311704.145
389,204.776,574909842.950
390,204.337,580599695.601
391,209.632,570299105.098
392,209.581,574825847.763
393,211.023,575278116.603
394,213.712,572386988.096
395,213.877,576311384.581
396,213.578,581512477.877
397,215.410,580945852.096
398,216.250,583073220.809
399,226.076,561945531.591
400,223.817,571895789.864
401,227.527,566800432.476
402,227.634,570782993.753
403,225.637,580142680.500
404,227.144,580594371.852
405,229.411,579136353.531
406,231.624,577862535.834
407,238.292,565853180.132
408,237.090,572924307.225
409,241.419,566798213.894
410,240.986,571991733.960
411,246.683,562880547.099
412,245.662,569355683.826
413,245.074,574887560.492
414,244.675,580017933.994
415,248.832,574470928.176
416,250.712,574294776.477
417,253.955,571059542.045
418,254.742,573400789.819
419,254.585,577882114.029
420,256.271,578200420.648
421,261.674,570316202.603
422,261.878,573942431.208
423,265.009,571202993.106
424,266.959,571061653.662
425,269.664,569342774.712
426,278.605,554970485.095
427,274.340,567576605.672
428,270.971,578680021.109
429,277.447,569143576.971
430,273.261,581912530.511
431,280.955,569934622.982
432,285.371,565029859.376
433,289.735,560393028.112
434,286.276,571102740.013
435,288.416,570792709.142
436,292.277,567145933.481
437,290.992,573579019.354
438,295.270,569158207.742
439,298.576,566720158.352
440,305.613,557463196.919
441,301.786,568390322.944
442,313.844,550279043.091
443,304.117,571742500.419
444,307.034,570154341.213
445,309.922,568666470.918
446,318.455,557168428.820
447,313.031,570643949.002
448,315.370,570221593.684
449,318.544,568328701.843
450,319.759,569960501.503
451,324.454,565465989.015
452,323.982,570065052.997
453,325.912,570458755.738
454,326.137,573848805.870
455,332.603,566419274.631
456,334.094,567617592.654
457,335.892,568301674.348
458,347.495,552939823.595
459,335.672,576173043.924
460,341.883,569411172.828
461,339.853,576556222.838
462,341.172,578072807.851
463,349.278,568331512.434
464,351.948,567682407.628
465,354.659,566993224.478
466,364.219,555680488.937
467,359.154,567152603.062
468,358.196,572330411.283
469,358.384,575704880.798
470,361.418,574531428.983
471,367.081,569286402.729
472,372.748,564209857.598
473,371.546,569640459.055
474,374.449,568816709.352
475,373.583,573751348.429
476,375.524,574398312.758
477,376.428,576637938.729
478,382.798,570616105.622
479,387.452,567307635.526
480,400.996,551586549.492
481,393.475,565650376.771
482,396.198,565273767.157
483,394.180,571711334.923
484,395.322,573607863.969
485,409.002,557865853.957
486,402.086,570978626.463
487,414.217,557684996.029
488,415.617,559237336.298
489,412.609,566784384.248
490,420.088,560115975.700
491,412.162,574389541.006
492,419.409,567920516.727
493,416.530,575339865.076
494,424.505,567973446.720
495,433.003,560214940.774
496,436.876,558620459.810
497,437.437,561285273.079
498,435.271,567490101.569
499,437.552,567939348.923
500,437.802,571034394.544
501,443.436,567168660.190
502,443.668,570273303.461
503,451.621,563585515.288
504,456.431,560978829.221
505,456.283,564507663.007
506,462.708,559982606.741
507,514.677,506429636.452
508,511.267,512829938.173
509,527.344,500137401.772
510,525.169,505174524.772
511,470.813,566818804.918
512,476.463,563392028.342
513,480.688,561718607.496
514,484.452,560620016.018
515,485.385,562814569.878
516,480.437,571929705.664
517,484.269,570709308.256
518,487.118,570670071.728
519,496.072,563621244.497
520,500.183,562226225.202
521,502.059,563363114.694
522,509.406,558441196.217
523,498.652,573769550.709
524,498.944,576729348.384
525,506.899,570934742.424
526,510.045,570661710.241
527,519.549,563423981.184
528,524.122,561693468.315
529,528.119,560615652.912
530,528.890,562979069.372
531,526.362,568890957.174
532,534.762,563124410.485
533,533.130,568039453.792
534,537.880,566198051.610
535,546.962,559930580.187
536,543.605,566553493.805
