N,Time(ms),FLOPS
267,57.906,657415915.449
268,58.981,652712975.365
269,59.499,654300374.796
270,60.228,653616258.219
271,60.578,657087094.325
272,60.712,662921597.048
273,68.361,595263878.527
274,62.668,656501691.453
275,62.903,661236348.028
276,63.769,659398014.709
277,64.278,661312828.651
278,65.166,659391461.805
279,65.627,661850732.168
280,66.933,655939521.611
281,67.214,660220817.092
282,67.951,660057041.103
283,69.535,651907298.483
284,69.456,659591799.125
285,71.104,651134254.050
286,70.391,664677472.972
287,71.391,662265635.724
288,72.307,660734700.651
289,73.267,658893335.335
290,74.250,656942760.943
291,74.497,661561432.004
292,75.441,660041303.800
293,81.367,618279081.200
294,80.869,628477760.328
295,77.871,659356499.852
296,79.145,655362587.656
297,79.195,661609268.262
298,80.586,656778894.597
299,80.826,661443075.248
300,83.118,649678769.942
301,82.570,660552282.911
302,83.625,658740998.505
303,84.489,658502929.375
304,101.907,551374567.007
305,89.054,637200462.641
306,86.954,659029279.849
307,88.892,651002182.424
308,89.385,653758729.093
309,91.122,647563244.880
310,90.071,661500371.929
311,94.626,635770950.901
312,92.057,659837448.537
313,92.641,662002720.178
314,94.497,655240780.131
315,94.722,659949642.111
316,95.715,659342757.144
317,98.974,643704669.913
318,100.807,637999980.160
319,100.737,644485323.168
320,100.782,650274850.668
321,105.725,625701792.386
322,101.162,660055119.511
323,102.292,658864173.151
324,103.275,658672941.176
325,103.960,660410253.944
326,105.733,655348396.433
327,111.019,629906286.311
328,109.700,643346435.734
329,108.203,658231084.166
330,113.043,635811151.509
331,110.550,656077630.032
332,110.796,660572006.210
333,111.339,663308220.839
334,112.480,662512517.781
335,113.458,662718803.434
336,116.874,649127367.935
337,116.147,659039889.106
338,117.034,659884683.084
339,121.551,641018486.068
340,118.852,661394002.625
341,119.579,663190376.237
342,121.301,659544241.185
343,121.781,662724185.218
344,122.888,662515200.833
345,124.623,659005560.771
346,125.703,659041327.574
347,126.658,659759715.138
348,127.212,662582020.564
349,128.380,662230082.567
350,131.019,654485227.333
351,137.325,629798667.395
352,132.328,659183362.554
353,133.752,657739353.430
354,134.063,661806225.431
355,135.575,659987092.015
356,143.349,629484907.464
357,137.786,660434195.056
358,138.651,661844660.334
359,140.218,659947781.312
360,141.124,661205748.136
361,142.206,661658171.948
362,143.627,660571173.944
363,144.874,660327553.598
364,146.185,659828901.734
365,147.281,660331271.515
366,147.837,663269628.036
367,150.488,656940925.522
368,154.380,645628086.540
369,151.748,662195337.006
370,153.258,661016064.414
371,156.522,652493719.733
372,156.083,659634271.509
373,156.792,661961286.290
374,158.170,661486046.659
375,158.843,663981100.835
376,161.197,659533068.233
377,161.333,664248888.944
378,163.325,661382544.007
379,164.781,660755050.643
380,166.188,660360555.515
381,167.203,661547233.004
382,167.790,664437308.540
383,169.295,663715845.122
384,171.039,662107519.338
385,174.697,653321178.956
386,176.988,649902321.061
387,176.133,658145867.044
388,176.868,660504692.765
389,182.039,646717121.056
390,180.921,655744772.580
391,180.395,662728689.820
392,183.192,657630114.852
393,188.004,645714527.350
394,189.001,647223919.450
395,187.840,656195432.283
396,188.640,658387786.260
397,192.449,650258229.453
398,190.653,661356411.911
399,190.696,666203790.326
400,193.680,660883932.259
401,195.195,660684966.316
402,195.991,662936645.050
403,198.592,659148676.684
404,199.483,661101587.604
405,208.397,637534369.497
406,202.689,660355677.910
407,203.643,662130718.954
408,205.335,661526890.204
409,207.047,660892734.500
410,208.446,661283977.625
411,210.059,661019342.185
412,214.129,653199968.243
413,212.331,663539445.488
414,214.912,660344178.082
415,216.210,661147726.747
416,221.359,650448330.540
417,218.367,664127024.688
418,221.354,659889877.752
419,223.722,657602372.587
420,224.305,660600521.611
421,225.084,663027678.556
422,227.686,660132357.721
423,228.916,661264105.611
424,230.615,661058682.219
425,233.878,656458709.242
426,235.972,655236858.610
427,235.659,660738465.325
428,237.249,660932202.032
429,238.473,662159565.234
430,239.252,664629762.761
431,243.675,657129299.272
432,244.143,660445460.243
433,245.118,662397188.293
434,252.638,647143375.106
435,248.458,662589854.221
436,253.529,653825447.976
437,252.090,662092530.445
438,261.517,642617283.006
439,255.917,661187173.967
440,256.559,664049984.604
441,259.738,660404877.222
442,260.577,662766767.597
443,263.473,659940919.942
444,268.227,652644096.232
445,266.026,662500093.976
446,271.916,652528986.893
447,270.406,660596458.658
448,270.841,663971791.568
449,274.006,660707057.510
450,275.590,661308465.474
451,277.994,659970006.547
452,284.287,649663248.759
453,282.374,658415271.944
454,282.971,661386954.847
455,284.584,661993471.172
456,292.511,648309403.749
457,287.454,664064462.488
458,289.949,662681450.876
459,292.568,661060532.936
460,294.314,661443220.506
461,296.478,660906920.581
462,302.771,651390839.942
463,299.013,663869778.237
464,301.415,662855823.366
465,303.574,662406036.090
466,313.399,645788250.760
467,307.996,661356400.732
468,322.234,636203702.899
469,313.756,657591944.058
470,313.418,662520978.374
471,315.469,662423952.908
472,317.828,661704116.692
473,318.493,664528369.540
474,322.668,660099073.971
475,325.156,659202813.419
476,328.467,656688044.766
477,328.035,661705811.880
478,329.543,662829142.176
479,339.547,647346252.507
480,333.648,662926197.669
481,339.001,656544617.862
482,336.839,664888376.940
483,340.196,662433344.307
484,343.570,660010501.499
485,345.336,660713768.620
486,346.620,662346408.170
487,347.843,664100200.378
488,349.532,664970715.128
489,354.396,659884248.129
490,359.999,653607371.132
491,363.104,651993759.364
492,359.414,662720361.477
493,362.055,661905826.463
494,369.675,652214967.201
495,364.558,665394121.100
496,372.711,654791170.639
497,371.248,661355605.956
498,373.180,661911099.201
499,382.520,649647072.049
500,384.003,651036580.443
501,380.155,661580150.202
502,379.968,665877168.604
503,382.803,664903498.666
504,385.078,664925360.576
505,395.875,650647931.797
506,390.637,663297209.430
507,399.680,652140927.742
508,394.926,663904184.581
509,404.232,652458137.901
510,398.702,665414269.304
511,410.166,650628433.366
512,403.803,664768354.866
513,409.498,659371703.891
514,415.471,653700229.378
515,413.667,660390483.166
516,413.659,664257738.862
517,415.892,664539894.973
518,421.678,659232077.557
519,422.686,661476173.803
